PV_IN;CV;PV_OUT;TIME;Unnamed: 4;Time_s
6,6;0,0;79,89;24/09/2026 12:13;;0,0
6,51;0,0;79,86;24/09/2026 12:13;;1,0
6,42;0,0;79,83;24/09/2026 12:13;;2,0
6,34;0,0;79,8;24/09/2026 12:13;;3,0
6,26;0,0;79,78;24/09/2026 12:13;;4,0
6,17;0,0;79,75;24/09/2026 12:13;;5,0
6,09;0,0;79,71;24/09/2026 12:13;;6,0
6,02;0,0;79,69;24/09/2026 12:13;;7,0
5,96;0,0;79,66;24/09/2026 12:13;;8,0
5,87;0,0;79,63;24/09/2026 12:13;;9,0
5,8;0,0;79,61;24/09/2026 12:13;;10,0
5,73;0,0;79,59;24/09/2026 12:13;;11,0
5,68;0,0;79,57;24/09/2026 12:13;;12,0
5,61;0,0;79,55;24/09/2026 12:13;;13,0
5,55;0,0;79,51;24/09/2026 12:13;;14,0
5,48;0,0;79,5;24/09/2026 12:13;;15,0
5,43;0,0;79,48;24/09/2026 12:13;;16,0
5,38;0,0;79,46;24/09/2026 12:13;;17,0
5,32;0,0;79,44;24/09/2026 12:13;;18,0
5,26;0,0;79,41;24/09/2026 12:14;;19,0
5,22;0,0;79,4;24/09/2026 12:14;;20,0
5,19;0,0;79,39;24/09/2026 12:14;;21,0
5,12;0,0;79,37;24/09/2026 12:14;;22,0
5,07;0,0;79,35;24/09/2026 12:14;;23,0
5,03;0,0;79,32;24/09/2026 12:14;;24,0
4,99;0,0;79,3;24/09/2026 12:14;;25,0
4,93;0,0;79,29;24/09/2026 12:14;;26,0
4,9;0,0;79,27;24/09/2026 12:14;;27,0
4,85;0,0;79,25;24/09/2026 12:14;;28,0
4,81;0,0;79,25;24/09/2026 12:14;;29,0
4,77;0,0;79,23;24/09/2026 12:14;;30,0
4,74;0,0;79,2;24/09/2026 12:14;;31,0
4,7;0,0;79,19;24/09/2026 12:14;;32,0
4,66;0,0;79,17;24/09/2026 12:14;;33,0
4,63;0,0;79,15;24/09/2026 12:14;;34,0
4,6;0,0;79,14;24/09/2026 12:14;;35,0
4,56;0,0;79,11;24/09/2026 12:14;;36,0
4,53;0,0;79,1;24/09/2026 12:14;;37,0
4,5;0,55;78,89;24/09/2026 12:14;;38,0
4,5;1,11;78,66;24/09/2026 12:14;;39,0
4,51;2,23;78,46;24/09/2026 12:14;;40,0
4,55;2,78;78,22;24/09/2026 12:14;;41,0
4,61;3,33;78,0;24/09/2026 12:14;;42,0
